companyId,Name,Market Capitalization,Close Price,Industry,Price To Earnings,Price To Sales,Revenue,Revenue Growth TTM,PAT Growth TTM,Price To Earnings Median 5 Years,PEG,Price To Earnings Median 3 Years,Industry PE Median,Industry PS Median,EV To EBITDA,CFO To PAT,Debt To Equity,Days Receivable,Days Receivable 3 Years Back,EMA 40W,Returns Vs Industry 1Y,Returns Vs Industry 3Y,CWIP,Debt,Debt 3 Years Back,Operating Cash Flow,Operating Cash Flow 1 Year Back,EPS,PAT Growth QoQ,PAT Growth YoY,PAT Growth 3 Years,EPS Growth QoQ,EPS Growth YoY,EPS Growth 3 Years,EPS Growth 5 Years,Promoter Holdings,DII Holdings,FII Holdings,Change In DII Holdings 1 Year,Change In DII Holdings 3 Years,Change In FII Holdings 1 Year,Change In FII Holdings 3 Years,Change In Promoter Holdings 1 Year,Change In Promoter Holdings 3 Years,Equity Shares,Fixed Assets,Fixed Assets 3 Years Back,Insider Trading,Bulk Block Deals,EMA 20D,EMA 50D,Nifty 500 Returns 3Y,Nifty 500 Returns 1Y,Nifty 500 Returns 5Y,PAT,PAT 1 Year Back,PAT 3 Years Back,PAT Latest Quarter,Pledged Percentage 1 Year Back,Change In Promoter Holdings Latest Quarter
NSE:SAILIFE,Sai Life Sciences Ltd,35045.05,1647.1,Pharma - API & CRAMS,96.1,15.57,2250.36,17.74,48.2,63.69,0.77,63.69,57.14,7.67,51.39,145.92,0.12,62.2,85.18,1170.97,55.75,null,270.45,288.45,932.38,509.13,314.05,17.17,-29.69,21.22,63.47,-29.82,19.31,211.54,-8.82,34.53,32.71,19.65,11.07,null,5.07,null,-0.62,null,212394216,1814.84,null,null,null,1500.1,1396,32.14,1,56.1,361.75,348.91,82.81,73.29,0.01,-0.08
NSE:REDINGTON,Redington Ltd,29238.36,373.55,Computer - Hardware,17.19,0.23,128132.84,23.2,-18.07,11.69,6.3,12.34,null,null,12.12,18.02,0.28,66.07,55.32,282.01,null,null,75.45,2841.62,3320.8,231.35,292.62,21.76,57.69,94.65,6.7,24.15,76.7,2.27,31.38,0,16.37,61.96,-0.27,-1.02,-0.63,2.75,0,0,781774431,674.98,881.42,null,null,354.79,325.2,32.14,1,56.1,1504.66,1284.15,1238.61,453.49,null,0
NSE:SUNDRMFAST,Sundram Fasteners Ltd,26257.64,1255,Auto Ancillaries - Engine Parts,42.97,3.98,6601.5,10.19,12.18,39.47,7.35,41.39,29.04,3.11,25.12,141.19,0.15,89.43,73.77,983.73,-4.75,-35.16,111.89,624.57,730.29,837.04,423.27,29.08,4.54,14.03,5.29,4.3,13.46,6.12,10.47,46.95,22.31,11.4,-0.36,3.95,0.3,-0.55,0,-1.57,210128370,2501.15,2029.47,null,null,1189.12,1099.6,32.14,1,56.1,613.6,592.85,525.64,168.69,0,0
NSE:ACUTAAS,Acutaas Chemicals Ltd,26018.64,3182.1,Pharma - API & CRAMS,67.37,17.8,1461.8,40.9,104.14,62.84,1.68,73.25,57.14,7.67,47.46,81.99,0.02,98.8,136.27,2703.03,87.89,35.77,332.32,35.6,3.6,292.17,118.34,47.17,-44.15,70.39,99.6,-43.63,67.65,56.14,20.48,32.66,19.56,21.61,-2.82,14.32,4.67,14.88,0,-6.74,81871122,744.85,263.23,null,null,3219.5,3227.61,32.14,1,56.1,387.35,356.37,48.71,74.99,0,0
NSE:SANSERA,Sansera Engineering Ltd,25117.44,4033.6,Auto Ancillaries - Diversified,71.86,6.69,3752.87,23.49,52.89,30.9,3.32,35.54,35.27,1.97,34.19,118.42,0.15,65.43,67.55,2809.1,162.47,36.92,219.55,457.58,804.22,387.07,376.56,56.01,-29.01,38.71,23.37,-28.81,38.21,23.37,19.9,29.21,31.04,21.52,-5.85,6.73,1.99,5.15,-1.14,-6.02,62403568,2261.72,1393.62,-27.02,null,3825.87,3577.55,32.14,1,56.1,351.23,326.86,187.04,87.36,0,-0.89
NSE:TDPOWERSYS,TD Power Systems Ltd,24137.29,768.8,Capital Goods - Gensets/Turbines,87.68,11.36,2124.39,54.29,45.27,37.72,2.8,45.46,68.57,9.42,59.99,54.05,0.02,145.92,112.59,550.75,77.94,31.31,17.32,18.11,0,129.07,39.52,8.81,19.53,72.34,32.45,19.48,72.5,34.85,38.89,26.87,23.88,26.18,-1.41,8.13,2.48,23.57,-0.01,-31.55,312456860,293.71,163.3,null,null,728.18,675.34,32.14,1,56.1,274.99,238.77,118.35,86.29,0,0
NSE:HBLENGINE,HBL Engineering Ltd,20260.18,731.25,Railways - Kavach/Springs,25.94,6.07,3339.09,62.97,134.64,35.89,0.49,49.72,24.98,5.23,17.61,92.02,0.02,71.4,83.21,747.07,-2.21,-15.54,127.48,43.99,86.02,738.44,239.14,28.18,101,-21.81,40.1,70.26,-23.45,103.06,131.71,59.11,0.98,5.62,0.62,0.84,0.79,3,0,0.01,277194946,440.51,345.29,null,null,691.21,713.15,32.14,1,56.1,770.93,802.44,280.35,110.91,0,0
NSE:SHILPAMED,Shilpa Medicare Ltd,18785.63,959.9,Pharma - API & CRAMS,61.18,11.16,1683.02,27.95,167.57,85.91,1.63,83.68,57.14,7.67,40.64,140.62,0.25,123.06,112.74,566.22,94.58,38.02,884.05,659.86,797.89,342.18,132.27,15.7,-6.41,115.14,110.33,-6.35,115,105.3,6.55,40.13,8.05,11.38,0.59,8.05,0.19,1.13,-4.09,-9.88,195581816,2045.97,1665.63,null,null,873.24,761.74,32.14,1,56.1,297.32,243.33,31.96,100.88,3.96,0
NSE:ASTRAMICRO,Astra Microwave Products Ltd,16729.31,1757.3,Aerospace & Defence - Equipments,88.5,14.68,1139.74,4.02,16.28,55.28,2.33,59.22,95.92,11.32,50.48,200.41,0.23,215.85,126.95,1393.21,47.02,19.89,9.25,287.67,186.3,386.73,-90.15,19.91,-88.35,-24.09,16.01,-88.35,-23.98,36.1,43.58,6.54,16.09,10.74,1.72,7.28,4.28,7.71,0,0,94945008,267.04,166.83,-66.08,null,1708.99,1678.49,32.14,1,56.1,189.04,192.97,121.07,12.35,0,0
NSE:GRWRHITECH,Garware Hi Tech Films Ltd,16141.87,6975.5,Packaging - Films,41.61,7.15,2258.2,6.02,19.02,20.68,2.27,24.51,69.22,6.56,32.8,81.4,0,9.14,7.6,5530.74,67.61,30.48,27.44,0,140.79,275.33,329.72,166.96,22.59,59.78,24.03,22.58,59.81,26.74,21.85,60.72,6.35,4.22,1.46,4,0.37,4.11,0,0,23232394,1577.53,1467.32,null,null,7094.01,6893.06,32.14,1,56.1,387.86,338.23,203.29,132.65,0,0
NSE:CONCORDBIO,Concord Biotech Ltd,15430.89,1470.5,Pharma - API & CRAMS,56.54,13.92,1108.4,-6.72,-23.37,49.53,6.08,49.53,57.14,7.67,38.14,102.95,0,159.23,117.12,1340.63,-40.82,-19.7,79.32,2.32,31.55,266.88,244.52,26.09,-34.78,30.96,-3.68,-34.75,31.12,2.59,-13.69,44.08,9.36,7.52,0.49,null,-1.58,null,0,null,104616204,793.37,592.98,null,237.32,1464.18,1407.02,32.14,1,56.1,272.87,259.23,308.1,57.7,0,0
NSE:PRIVISCL,Privi Speciality Chemicals Ltd,13515.7,3469.6,Speciality Chemicals,38.63,5.06,2671.09,21.63,62.21,51.85,1.35,47.14,39.54,5.46,21.18,173.68,0.72,74.89,67.1,3218.43,26.04,34.74,313.77,1021.27,1079.33,550.09,281.11,89.56,-11.98,43.94,53.03,-10.13,36.03,148.72,22.88,60.6,10.08,1.94,6.18,6.81,0.47,0.96,-9.29,-13.45,39062706,1184.62,1022.24,null,null,3450.67,3483.97,32.14,1,56.1,342.01,316.72,95.43,82.84,0,0
NSE:MANORAMA,Manorama Industries Ltd,13435.6,2132.9,FMCG - Chocolate,49.23,9.07,1481.2,59.79,80.37,45.05,0.61,45.05,null,null,32.65,111.34,0.52,16.69,null,1550.29,null,null,18.22,355.76,null,250.42,-56.9,43.24,49.94,67.58,null,49.83,67.34,null,null,54.32,2.63,3.22,-1.99,-0.77,-0.19,0.62,-0.08,-2.93,63122390,196.07,null,null,0,1886.57,1754.79,32.14,1,56.1,258.27,224.92,null,78.66,0,0
NSE:RKFORGE,Ramkrishna Forgings Ltd,12775.58,701.3,"Castings, Forgings & Fastners",119.07,2.88,4439.5,8.55,-71.28,34.73,0,41.8,36.05,4.7,21.13,1169.62,0.76,68.46,88.62,611.66,-27.89,-10.83,336.72,2448.77,1333.4,839.76,32.55,5.89,-16.2,297.63,-17.5,-16.5,296.92,-20.37,29.5,43.39,5.09,20.43,1.5,0.89,-4.02,4.09,0.27,-2.88,182170017,3761.49,1692.76,null,null,717.3,678.03,32.14,1,56.1,106.89,71.8,282.88,46.88,5.73,0.07
NSE:E2E,E2E Networks Ltd,12701.85,617.6,Data Centre,null,51.72,245.58,null,null,null,null,null,47.09,9.01,97.93,null,null,null,null,404.41,49.84,97.58,null,null,null,null,null,0,581.37,1645.07,null,7033.33,21500,null,null,39.45,6.07,1.28,4.2,6.07,-1.7,-0.38,-1.15,-20.26,205564890,null,null,null,null,606.32,548.34,32.14,1,56.1,-15.57,null,null,43.88,5.87,0
NSE:GRAVITA,Gravita India Ltd,12473.63,1682.3,Recycling,31.41,2.65,4700.39,17.48,15.88,27.14,1.47,34.02,27.81,1.04,28.82,44.75,0.3,36.88,17.86,1692.54,5.99,0,47.54,732.32,347.72,169.29,282.18,53.81,15.86,14.3,17.36,15.69,13.97,20.51,46.46,55.88,5.51,12.85,1.1,5.11,-2.23,3.53,0,-10.6,73808451,939.26,273.32,-2.57,null,1750.9,1742.55,32.14,1,56.1,391.64,378.33,242.28,106.37,0,0
NSE:JMFINANCIL,JM Financial Ltd,12318.95,128.47,Finance - Investment Bankers,11.84,2.95,4180.29,-5.25,4.24,11.98,6.37,14.24,15.78,3.64,8.22,49.34,1.08,127.63,135.86,131.4,0,-10.67,159.6,11521.86,15874.63,580.73,5568.65,10.87,131.39,-19.42,240.67,76.3,-35.79,26.16,14.67,57.03,5.49,16.95,-1.03,-2.12,-0.74,-3.77,0.52,0.56,956959936,572.73,452.41,null,null,129.2,127.89,32.14,1,56.1,1088.04,1176.88,27.52,368.74,0,-0.04
NSE:VIYASH,Viyash Scientific Ltd,11539.43,261.95,Pharma - Animal,53.68,3.23,3575.03,53.04,179.65,84.63,1.25,88.89,31.03,3.31,16.75,143.74,0.17,111.54,87.59,237.33,0,28.57,70.46,489.75,443.6,322.91,344.8,4.88,19.45,115.17,122.53,25.83,164.91,41.58,1.11,61.31,3.75,4.5,-9.23,0.84,-1.65,-1.76,8.7,8.52,440520361,2104.67,609.2,null,255.62,264.28,262.47,32.14,1,56.1,267.09,224.65,-29.61,79.29,0,0
